,n,Mean,SD,Statistic,p-value
0,1,2.575717417130363e-16,1.0,0.018,0.9969602438295625
1,2,6.448175327022909e-16,1.0,0.015,0.9998734489003387
2,3,2.1316282072803005e-16,0.9999999999999999,0.023,0.9542189106778983
3,4,-1.3500311979441903e-16,1.0,0.025,0.9136894237272155
4,5,3.694822225952521e-16,1.0,0.019,0.9937026761524456
5,6,-1.1688428003253649e-15,1.0,0.027,0.8595454206943325
6,7,-3.1619151741324457e-16,1.0,0.034,0.6101664688189142
7,8,1.4921397450962105e-16,1.0,0.024,0.9357699014782725
8,9,1.0320633236915455e-15,1.0,0.021,0.9802627322900355
9,10,1.156408302449563e-15,1.0,0.025,0.9136894237272155
10,11,2.7533531010703882e-17,0.9999999999999999,0.023,0.9542189106778983
11,12,8.064660050877137e-16,1.0,0.025,0.9136894237272155
12,13,4.449773882697627e-16,0.9999999999999999,0.021,0.9802627322900355
13,14,1.5751844273381722e-15,1.0,0.019,0.9937026761524456
14,15,-1.3500311979441903e-16,1.0,0.025,0.9136894237272155
15,16,-3.1263880373444406e-16,0.9999999999999999,0.022,0.9690010280430694
16,17,-2.948752353404416e-16,1.0,0.027,0.8595454206943325
17,18,7.176481631177012e-16,1.0,0.024,0.9357699014782725
18,19,-1.637801005927031e-15,1.0,0.021,0.9802627322900355
19,20,2.4087398742267398e-15,1.0,0.02,0.9883339509983219
20,21,-1.0658141036401503e-17,1.0,0.029,0.7946637387576738
21,22,-3.552713678800501e-17,1.0,0.034,0.6101664688189142
22,23,1.6830981053317373e-15,1.0,0.021,0.9802627322900355
23,24,1.7319479184152443e-16,1.0,0.019,0.9937026761524456
24,25,-1.474376176702208e-16,0.9999999999999999,0.024,0.9357699014782725
25,26,-2.305711177541525e-15,1.0,0.038,0.4659595288557257
26,27,-2.8350655156828e-15,0.9999999999999998,0.02,0.9883339509983219
27,28,-1.0835776720341528e-15,1.0,0.028,0.8282194040312439
28,29,-2.1511681325137034e-15,1.0,0.025,0.9136894237272155
29,30,1.1546319456101628e-15,1.0,0.022,0.9690010280430694
30,31,5.631051180898794e-16,1.0,0.018,0.9969602438295625
31,32,-6.252776074688881e-16,0.9999999999999999,0.03,0.7593695685682871
32,33,9.272582701669308e-16,1.0,0.019,0.9937026761524456
33,34,1.8349766151004586e-15,0.9999999999999999,0.019,0.9937026761524456
34,35,-3.952393967665557e-17,1.0,0.027,0.8595454206943325
35,36,9.663381206337363e-16,1.0,0.024,0.9357699014782725
36,37,1.0977885267493548e-15,0.9999999999999999,0.027,0.8595454206943325
37,38,-9.414691248821328e-16,1.0,0.023,0.9542189106778983
38,39,-6.190603585309872e-16,0.9999999999999999,0.029,0.7946637387576738
39,40,2.257749542877718e-15,1.0,0.02,0.9883339509983219
40,41,4.4142467459096224e-16,1.0,0.029,0.7946637387576738
41,42,-2.147615418834903e-15,0.9999999999999999,0.027,0.8595454206943325
42,43,-5.986322548778844e-16,0.9999999999999999,0.021,0.9802627322900355
43,44,3.0375701953744285e-16,1.0,0.042,0.34112475112661245
44,45,1.4930279235159106e-15,1.0,0.036,0.5362766985932181
45,46,3.3004710076056655e-15,0.9999999999999999,0.026,0.8881734182535203
46,47,2.9132252166164106e-15,0.9999999999999999,0.031,0.7228251828701066
47,48,8.064660050877137e-16,1.0,0.03,0.7593695685682871
48,49,-5.275779813018744e-16,0.9999999999999999,0.031,0.7228251828701066
49,50,-1.644906433284632e-15,1.0,0.025,0.9136894237272155
