,n,Mean,SD,Statistic,p-value
0,1,3.0010482432660064,1.0116646938450788,0.87,0.0
1,2,3.0001608080242725,0.6896619872940902,0.929,0.0
2,3,2.993422084395649,0.575043128990802,0.951,0.0
3,4,2.9932858958509514,0.4892780638998811,0.962,0.0
4,5,3.0110563706847,0.46336335556457725,0.964,0.0
5,6,2.9962580389626874,0.3998916812217042,0.977,0.0
6,7,2.988645973759969,0.3767345570532035,0.975,0.0
7,8,3.0078143649210034,0.35991090429465183,0.977,0.0
8,9,3.00247330881398,0.3295291412514622,0.98,0.0
9,10,3.00240395774179,0.3117187455925661,0.986,0.0
10,11,2.9991372327085655,0.30222273836873376,0.982,0.0
11,12,3.0005847939405497,0.2850055431027407,0.985,0.0
12,13,2.998922167932029,0.27263442318970094,0.986,0.0
13,14,2.9962377822840307,0.255483613064097,0.986,0.0
14,15,2.9990774343566606,0.270989816970323,0.986,0.0
15,16,2.9920505570605744,0.24056830204788296,0.987,0.0
16,17,2.990124781723232,0.24218205999888004,0.986,0.0
17,18,2.999280502973822,0.23443197422788709,0.987,0.0
18,19,2.991107051096505,0.22282481475991092,0.989,0.0
19,20,2.993740445783477,0.22926787409060617,0.99,0.0
20,21,3.0065812129500733,0.2103526933470179,0.99,0.0
21,22,2.994655503058247,0.21522339708786006,0.99,0.0
22,23,3.0044820738931084,0.2105049387548195,0.991,0.0
23,24,2.999742039791345,0.20074056577361477,0.991,0.0
24,25,3.0091195291844017,0.20090824725345988,0.99,0.0
25,26,2.99703891988735,0.19222751173606797,0.991,0.0
26,27,3.0095520458049587,0.19155074342603381,0.991,0.0
27,28,2.9911005313752357,0.18382740807019837,0.991,0.0
28,29,2.998359564617973,0.18883443923850637,0.989,0.0
29,30,2.9984027691336004,0.18132260675793194,0.991,0.0
30,31,2.9976055295941304,0.18134756237777874,0.991,0.0
31,32,2.9996861073197834,0.17701628272374278,0.992,0.0
32,33,2.9988250904053695,0.17087301605761063,0.992,0.0
33,34,3.0053998111280897,0.1582889179091529,0.992,0.0
34,35,2.9967392644502864,0.17221504962124085,0.992,0.0
35,36,2.991316175602905,0.17266739229206599,0.991,0.0
36,37,2.99658700713211,0.17199028868945002,0.989,0.0
37,38,2.9972184116789427,0.15911039779377006,0.992,0.0
38,39,3.0016618722759594,0.16192150704736616,0.991,0.0
39,40,3.002849016763915,0.15325968052043526,0.993,0.0
40,41,3.0004613967359877,0.15823217615735372,0.992,0.0
41,42,3.00083767663884,0.15580181005212082,0.992,0.0
42,43,2.9988583233287924,0.14573879292462366,0.992,0.0
43,44,2.9993218083089976,0.15799561351370475,0.991,0.0
44,45,3.0007781045247675,0.15393445675880232,0.992,0.0
45,46,2.992637889195299,0.14379331253578864,0.993,0.0
46,47,3.002595380333525,0.14067231025531146,0.993,0.0
47,48,3.0037783760706063,0.14607820784075062,0.992,0.0
48,49,3.004475122218532,0.14686712368261268,0.994,0.0
49,50,2.9964291843311495,0.1371363797053355,0.993,0.0
