,n,Mean,SD,Statistic,p-value,Reject NH
0,1,7.105427357601002e-18,1.0,0.162,7.224279835989447e-12,Yes
1,2,-8.881784197001253e-17,0.9999999999999999,0.111,8.74452446093763e-06,Yes
2,3,4.7073456244106636e-17,1.0,0.093,0.00034775170271509687,Yes
3,4,1.5631940186722203e-16,1.0,0.092,0.000418604197209586,Yes
4,5,2.7355895326763857e-16,0.9999999999999999,0.083,0.0020287627507189713,Yes
5,6,-7.460698725481052e-17,1.0,0.081,0.0028179208242694134,Yes
6,7,3.552713678800501e-17,1.0,0.065,0.029225323426275904,Yes
7,8,9.237055564881302e-17,1.0,0.061,0.04839715079181246,Yes
8,9,-2.1316282072803005e-16,0.9999999999999999,0.079,0.0038826726503625613,Yes
9,10,-8.08242361927114e-17,1.0,0.06,0.05462666510701526,No
10,11,1.6697754290362354e-16,1.0,0.065,0.029225323426275904,Yes
11,12,5.808686864838819e-16,1.0,0.058,0.06917625399020766,No
12,13,5.755396159656812e-16,1.0,0.069,0.017090148468768534,Yes
13,14,2.5934809855243655e-16,1.0,0.051,0.14836452078962484,No
14,15,-7.638334409421076e-17,0.9999999999999999,0.048,0.19957365535779528,No
15,16,-2.4336088699783433e-16,0.9999999999999998,0.053,0.12051526066065596,No
16,17,5.1514348342607266e-17,1.0,0.048,0.19957365535779528,No
17,18,-2.744471316873387e-16,0.9999999999999999,0.052,0.13385273551786803,No
18,19,-1.0658141036401502e-16,1.0,0.057,0.07761108123267829,No
19,20,-7.815970093361102e-17,0.9999999999999999,0.059,0.06153429181321559,No
20,21,-7.815970093361102e-17,0.9999999999999999,0.055,0.09710349657052789,No
21,22,-5.755396159656812e-16,1.0,0.054,0.1082872208757189,No
22,23,-3.552713678800501e-16,1.0,0.049,0.18116454248303263,No
23,24,1.723066134218243e-16,1.0,0.052,0.13385273551786803,No
24,25,5.240252676230739e-16,0.9999999999999999,0.038,0.4659595288557257,No
25,26,3.552713678800501e-17,0.9999999999999999,0.04,0.4006338815832625,No
26,27,-2.247091401841317e-16,1.0,0.048,0.19957365535779528,No
27,28,-7.283063041541026e-16,1.0,0.049,0.18116454248303263,No
28,29,-4.138911435802584e-16,1.0,0.043,0.3136800387320582,No
29,30,5.777600620149314e-16,1.0,0.04,0.4006338815832625,No
30,31,-7.105427357601002e-16,1.0,0.042,0.34112475112661245,No
31,32,-2.6645352591003756e-17,1.0,0.04,0.4006338815832625,No
32,33,2.291500322826323e-16,1.0,0.051,0.14836452078962484,No
33,34,1.5987211554602254e-16,1.0,0.042,0.34112475112661245,No
34,35,-7.105427357601002e-18,1.0,0.039,0.43260886958153144,No
35,36,1.7763568394002505e-17,0.9999999999999999,0.048,0.19957365535779528,No
36,37,4.3076653355456073e-16,0.9999999999999999,0.044,0.28779764348473313,No
37,38,-9.947598300641403e-17,1.0,0.042,0.34112475112661245,No
38,39,-3.019806626980426e-17,1.0,0.039,0.43260886958153144,No
39,40,-2.3714363805993345e-16,1.0,0.034,0.6101664688189142,No
40,41,3.3306690738754696e-16,1.0,0.046,0.24068202486600215,No
41,42,1.6342482922482304e-16,0.9999999999999999,0.049,0.18116454248303263,No
42,43,3.019806626980426e-16,0.9999999999999999,0.054,0.1082872208757189,No
43,44,5.258016244624741e-16,1.0,0.043,0.3136800387320582,No
44,45,-1.8474111129762604e-16,0.9999999999999999,0.032,0.6854967337920594,No
45,46,3.304023721284466e-16,1.0,0.049,0.18116454248303263,No
46,47,-7.318590178329032e-16,1.0,0.031,0.7228251828701066,No
47,48,3.375077994860476e-16,0.9999999999999999,0.046,0.24068202486600215,No
48,49,1.2789769243681803e-15,1.0,0.047,0.21939649929677082,No
49,50,-6.394884621840901e-16,1.0,0.039,0.43260886958153144,No
