,n,Mean,SD,Statistic,p-value,Reject NH
0,1,-0.2615369332854085,0.5409291738516406,0.077,0.005306868855560685,Yes
1,2,-0.10142726918569693,0.33747536070529904,0.059,0.06153429181321559,No
2,3,-0.07519528666162686,0.2868638028883162,0.057,0.07761108123267829,No
3,4,-0.0607603219499205,0.22489222992045937,0.034,0.6101664688189142,No
4,5,-0.04274996567869001,0.20153177033312195,0.032,0.6854967337920594,No
5,6,-0.0462891866000446,0.18366959153139287,0.038,0.4659595288557257,No
6,7,-0.03566674264525979,0.16919787262453542,0.036,0.5362766985932181,No
7,8,-0.03907493035474929,0.16210311503594982,0.043,0.3136800387320582,No
8,9,-0.029378085114772707,0.14878318890412948,0.037,0.5005673707894058,No
9,10,-0.015689785661411496,0.13938701407659926,0.032,0.6854967337920594,No
10,11,-0.02363473937547352,0.1309537806077404,0.027,0.8595454206943325,No
11,12,-0.003952915899994443,0.12464488285210143,0.04,0.4006338815832625,No
12,13,-0.016225794735390674,0.12304097928570973,0.026,0.8881734182535203,No
13,14,-0.011294684527404389,0.12053676506816481,0.034,0.6101664688189142,No
14,15,-0.01439062037452553,0.11586344141179118,0.033,0.647814872077161,No
15,16,-0.007747540362129216,0.11103220508909717,0.027,0.8595454206943325,No
16,17,-0.017503268964719924,0.10703083542357107,0.039,0.43260886958153144,No
17,18,-0.016432326154399546,0.09954828434639588,0.027,0.8595454206943325,No
18,19,-0.01742275209668402,0.10040933113573931,0.032,0.6854967337920594,No
19,20,-0.009986433532746461,0.09857703336009903,0.033,0.647814872077161,No
20,21,-0.014555127751461566,0.09720191962955683,0.025,0.9136894237272155,No
21,22,-0.016181453897453256,0.09048435996042188,0.029,0.7946637387576738,No
22,23,-0.010547162638024389,0.09392541274218207,0.027,0.8595454206943325,No
23,24,-0.01060515230050788,0.08680329213958993,0.026,0.8881734182535203,No
24,25,-0.012072748866886892,0.08732307343400057,0.028,0.8282194040312439,No
25,26,-0.006981090121850792,0.08418695398506366,0.033,0.647814872077161,No
26,27,-0.00737863634107459,0.08519652882088617,0.027,0.8595454206943325,No
27,28,-0.004819619729910871,0.08494737122374509,0.024,0.9357699014782725,No
28,29,-0.005071237249218428,0.08159076125993645,0.028,0.8282194040312439,No
29,30,-0.008184921845523326,0.0802538929732985,0.03,0.7593695685682871,No
30,31,-0.00301365953924226,0.07640039980885863,0.033,0.647814872077161,No
31,32,-0.0052873022383664176,0.07525829460736828,0.036,0.5362766985932181,No
32,33,-0.00754410832764918,0.0755562741571837,0.028,0.8282194040312439,No
33,34,-0.008169707817718785,0.07296753781033782,0.029,0.7946637387576738,No
34,35,-0.009627556416844858,0.07418893797361452,0.03,0.7593695685682871,No
35,36,-0.007178689722135234,0.07622919302001842,0.039,0.43260886958153144,No
36,37,-0.004870983598807771,0.07134545307950045,0.029,0.7946637387576738,No
37,38,-0.004499633887017515,0.06944123127871547,0.031,0.7228251828701066,No
38,39,-0.008607903072910482,0.07229236806477592,0.024,0.9357699014782725,No
39,40,-0.0052803095343401454,0.06913254195042791,0.026,0.8881734182535203,No
40,41,-0.007894663387948428,0.06946036438506628,0.03,0.7593695685682871,No
41,42,-0.005962511365752135,0.06979643572581712,0.028,0.8282194040312439,No
42,43,-0.006711705289143801,0.06542272834392278,0.025,0.9136894237272155,No
43,44,-0.0023181141058254786,0.06566116379645069,0.032,0.6854967337920594,No
44,45,-0.005242036582513444,0.06599344730551897,0.032,0.6854967337920594,No
45,46,-0.00731587402497599,0.06710465952206479,0.029,0.7946637387576738,No
46,47,-0.004375287930775994,0.0638561759112076,0.036,0.5362766985932181,No
47,48,-0.007950665563166152,0.06146753117875576,0.032,0.6854967337920594,No
48,49,-0.002452139531704411,0.060840890314280874,0.039,0.43260886958153144,No
49,50,-0.003361240611330688,0.061337564307279324,0.036,0.5362766985932181,No
