,Position,pvalue,Cutoff,Rejected
100,100,0.9981571744905128,0.05,No
99,99,0.9959615591831406,0.0495,No
98,98,0.995161470372006,0.049,No
97,97,0.9939432461014416,0.04850000000000001,No
96,96,0.98548508829833,0.04800000000000001,No
95,95,0.9525879121961072,0.0475,No
94,94,0.9469794932088756,0.047,No
93,93,0.9447631082753521,0.04650000000000001,No
92,92,0.94145642429032,0.046000000000000006,No
91,91,0.9391658345537668,0.0455,No
90,90,0.9311618149242832,0.045,No
89,89,0.9201278255924499,0.044500000000000005,No
88,88,0.9033911352029022,0.044000000000000004,No
87,87,0.8936698363347413,0.043500000000000004,No
86,86,0.8890523074042529,0.043,No
85,85,0.8840604376752716,0.0425,No
84,84,0.8771876074330993,0.042,No
83,83,0.8553388831000216,0.0415,No
82,82,0.8420166552662371,0.04100000000000001,No
81,81,0.8338320879499507,0.0405,No
80,80,0.8289121800299959,0.04,No
79,79,0.8215865990894301,0.0395,No
78,78,0.8199736489103266,0.03900000000000001,No
77,77,0.8038927086796234,0.0385,No
76,76,0.8038504451891448,0.038000000000000006,No
75,75,0.8037564052751479,0.0375,No
74,74,0.8010751669079637,0.037000000000000005,No
73,73,0.7949156114800768,0.036500000000000005,No
72,72,0.7839530490774782,0.036000000000000004,No
71,71,0.7771985848021649,0.035500000000000004,No
70,70,0.7717664497895661,0.035,No
69,69,0.7684934330696621,0.0345,No
68,68,0.7684075236997134,0.034,No
67,67,0.7574366659112458,0.0335,No
66,66,0.7366307489201867,0.033,No
65,65,0.7265786101059336,0.0325,No
64,64,0.723409346000398,0.032,No
63,63,0.7222535391905429,0.0315,No
62,62,0.7007783414383975,0.031,No
61,61,0.6793164404472382,0.030500000000000003,No
60,60,0.6743908696169831,0.03,No
59,59,0.6690976787302209,0.029500000000000002,No
58,58,0.6611187474203349,0.029000000000000005,No
57,57,0.6451849964138814,0.0285,No
56,56,0.6412319201241103,0.028000000000000004,No
55,55,0.6228402889401639,0.0275,No
54,54,0.5662277410610375,0.027000000000000003,No
53,53,0.5641097830432139,0.026500000000000003,No
52,52,0.5631956245299093,0.026000000000000002,No
51,51,0.5614894336810289,0.025500000000000002,No
50,50,0.5613312850907739,0.025,No
49,49,0.5537010845072463,0.0245,No
48,48,0.5483116689969729,0.024000000000000004,No
47,47,0.5391930456252185,0.0235,No
46,46,0.5163378350357914,0.023000000000000003,No
45,45,0.5123471280777125,0.0225,No
44,44,0.5051414988805655,0.022000000000000002,No
43,43,0.456873884683808,0.0215,No
42,42,0.4565783453902335,0.021,No
41,41,0.4278465893499915,0.020500000000000004,No
40,40,0.425912028581004,0.02,No
39,39,0.4210249100072033,0.019500000000000003,No
38,38,0.4113036843738462,0.019000000000000003,No
37,37,0.3984142257189005,0.018500000000000003,No
36,36,0.3873100127099402,0.018000000000000002,No
35,35,0.38058679428097947,0.0175,No
34,34,0.33957200159500084,0.017,No
33,33,0.32563765187131816,0.0165,No
32,32,0.31698989165814234,0.016,No
31,31,0.31683141441799445,0.0155,No
30,30,0.30761866878695554,0.015,No
29,29,0.2910884745958522,0.014500000000000002,No
28,28,0.28798294269004204,0.014000000000000002,No
27,27,0.2724874394729268,0.013500000000000002,No
26,26,0.26546934071972045,0.013000000000000001,No
25,25,0.2643205877917214,0.0125,No
24,24,0.26160706686032353,0.012000000000000002,No
23,23,0.2533130865505477,0.011500000000000002,No
22,22,0.24136509960930144,0.011000000000000001,No
21,21,0.2369291105708041,0.0105,No
20,20,0.2366861126427549,0.01,No
19,19,0.2257952405257973,0.009500000000000001,No
18,18,0.16275894293371618,0.009000000000000001,No
17,17,0.15883010377558224,0.0085,No
16,16,0.1461305509500528,0.008,No
15,15,0.14359073964737082,0.0075,No
14,14,0.10295008699003616,0.007000000000000001,No
13,13,0.1003744641600494,0.006500000000000001,No
12,12,0.09930497152538302,0.006000000000000001,No
11,11,0.09923186922276894,0.0055000000000000005,No
10,10,0.0992004276754243,0.005,No
9,9,0.0969868469477786,0.0045000000000000005,No
8,8,0.08920134178140833,0.004,No
7,7,0.08536616453793419,0.0035000000000000005,No
6,6,0.0603325891123564,0.0030000000000000005,No
5,5,0.02165600417430594,0.0025,No
4,4,0.015295738887356894,0.002,No
3,3,0.013091262605092066,0.0015000000000000002,No
2,2,0.01057502284380147,0.001,No
1,1,0.008828262432565516,0.0005,No
