,Position,pvalue,Cutoff,Rejected
15,15,1.0,0.05,No
14,14,0.759,0.04666666666666667,No
13,13,0.6528,0.043333333333333335,No
12,12,0.5719,0.04000000000000001,No
11,11,0.4262,0.03666666666666667,No
10,10,0.324,0.03333333333333333,No
9,9,0.0459,0.030000000000000002,No
8,8,0.0344,0.02666666666666667,No
7,7,0.0298,0.023333333333333334,No
6,6,0.0278,0.020000000000000004,No
5,5,0.0201,0.016666666666666666,No
4,4,0.0095,0.013333333333333334,Yes
3,3,0.0019,0.010000000000000002,Yes
2,2,0.0004,0.006666666666666667,Yes
1,1,0.0001,0.0033333333333333335,Yes
